@timestamp,addr_new,addr_old,conts_name,value,name,gu_name,location.lat,location.lon
,오금로 505,송파구 거여동 37-10,"5호선 거여역(2,4,8번 출구)",수동식/자동식,구분,송파구,37.493112,127.144669
,올림픽로 383,송파구 신천동 20-8,"8호선 몽촌토성역(2,3,4번 출구)",수동식/자동식,구분,송파구,37.51756,127.112204
,null,null,"2호선 잠실역(2,3,7번 출구)",수동식/자동식,구분,송파구,37.514223,127.099801
,올림픽로 130,송파구 잠실동 18,"2호선 신천역(2,5,7번 출구)",수동식/자동식,구분,송파구,37.511901,127.085097
,올림픽로 23,null,"2호선 종합운동장역(3,4,5번 출구)",수동식/자동식,구분,송파구,37.511341,127.072804
,송파대로 354,송파구 가락동 465-6,"8호선 송파역(1,2,4번 출구)",수동식/자동식,구분,송파구,37.499382,127.112823
,충민로2길 12,송파구 장지동 217-3,8호선 장지역(1~2번 출구 사이),수동식,구분,송파구,37.47865,127.126459
,성남대로 1576,송파구 장지동 600-37,8호선 복정역,수동식,구분,송파구,37.470204,127.127027
,양재대로 1222,송파구 방이동 89-21,"5호선 올림픽공원역(1,2,3번 출구)",수동식/자동식,구분,송파구,37.516079,127.13124
,양재대로 1127,null,"5호선 방이역(1,2,3,4번 출구)",수동식/자동식,구분,송파구,37.508529,127.125965
,중대로 235,null,5호선 오금역(2번 출구),수동식/자동식,구분,송파구,37.502364,127.128782
,백제고분로 365,송파구 석촌동 174-7,"8호선 석촌역(2,3,8번 출구)",수동식/자동식,구분,송파구,37.505366,127.106632
,오금로 405,null,"5호선 개롱역(1,4번 출구)",수동식/자동식,구분,송파구,37.49853,127.13455
,양재대로 932,송파구 가락동 600-1,"3/8호선 가락시장역(1,8번 출구)",수동식/자동식,구분,송파구,37.492428,127.118009
,올림픽로 550,송파구 풍납동 504-2,"8호선 강동구청역(2,4번 출구)",수동식/자동식,구분,송파구,37.530424,127.12035
,마천로61바길 20,송파구 마천동 302-12,5호선 마천역(2번 출구),수동식,구분,송파구,37.495465,127.153241
,천호대로 1006,강동구 성내동 64-13,"5/8호선 천호역(7,10번 출구)",수동식/자동식,구분,강동구,37.538235,127.123903
,오금로 20,송파구 신천동 17-9,"2호선 잠실나루역(2,3번 출구 고가하부)",수동식,구분,송파구,37.520611,127.10394
,천호대로 405,동대문구 장안동 416-6,"5호선 장한평역(1,4번 출구)",수동식,구분,동대문구,37.561886,127.064447
,한천로 472,동대문구 이문동 217-3,1호선 신이문역,수동식,구분,동대문구,37.602875,127.067551
,서초대로 233,서초구 서초동 1541-9,2호선 서초역(3번 출구),수동식,구분,서초구,37.491427,127.00764
,강남대로 221,서초구 양재동 23,신분당선 양재역(10번 출구),수동식,구분,서초구,37.48373,127.034508
,청계산로 179,서초구 신원동 275-1,신분당선 청계산입구(1번 출구),수동식,구분,서초구,37.448922,127.054377
,통일로 715,은평구 대조동 15-242,"3/6호선 불광역(3,7번 출구)",수동식/자동식,구분,은평구,37.609521,126.93054
,장승배기로 89,동작구 노량진동 311-52,7호선 장승배기(5번 출구),수동식,구분,동작구,37.505524,126.939392
,노량진로 155,동작구 노량진동 67-3,"1호선 노량진역 광장(1번 출구, 육교하부)",수동식,구분,동작구,37.513835,126.942923
,상도로 378,동작구 상도동 514,7호선 숭실대입구역(3번 출구),수동식,구분,동작구,37.495861,126.954216
,사당로 216,동작구 사당동 712-12,7호선 남성역(1번 출구),수동식,구분,동작구,37.484181,126.972072
,null,동작구 대방동 101-30,1호선 대방역(1번 출구),수동식,구분,동작구,37.513026,126.927297
,상도로 272,동작구 상도1동 701-5,7호선 상도역(3번 출구),수동식,구분,동작구,37.503385,126.947648
,상도로 3,동작구 대방동 399-8,7호선 보라매역(8번 출구),수동식,구분,동작구,37.499969,126.920861
,고덕로 253,강동구 명일동 46-1,5호선 고덕역(4번 출구),수동식,구분,강동구,37.554898,127.154228
,벚꽃로 122,금천구 가산동 711,"1호선 독산역(1,2번 출구)",수동식,구분,금천구,37.466354,126.889514
,사직로12길 1-5,종로구 내자동 75-4,3호선 경복궁역(7번 출구),수동식,구분,종로구,37.575868,126.971754
,새문안로5길 14-1,종로구 당주동 40-14,5호선 광화문역(1~8번 출구 사이),수동식,구분,종로구,37.571672,126.974911
,종로 47,종로구 종로1가 43-3,"1호선 종각역(2,3-1,7번 출구)",수동식,구분,종로구,37.570631,126.982864
,돈화문로10길 2,종로구 묘동 88-3,"1호선 종로3가역(7,8번 출구)",수동식,구분,종로구,37.572339,126.991654
,종로 213,종로구 종로5가 90-1,1호선 종로5가역(1번 출구),수동식,구분,종로구,37.570998,127.001362
,대학로 103,종로구 명륜4가 97-2,4호선 혜화역(3번 출구),수동식,구분,종로구,37.581451,127.001881
,종로 292,종로구 창신동 463-2,1호선 동대문역(6번 출구),수동식,구분,종로구,37.571394,127.010494
,지봉로 99-1,종로구 창신동 22-15,6호선 창신역(1번 출구),수동식,구분,종로구,37.579018,127.015195
,종로 346,종로구 숭인동 302-1,1호선 동묘앞역(4번 출구),수동식,구분,종로구,37.572946,127.016013
,독서당로6길 12-13,용산구 한남동 511-13,경의중앙선 한남역(1번 출구),수동식,구분,용산구,37.529346,127.008002
,서빙고로 238,용산구 서빙고동 241-84,경의중앙선 서빙고역 광장(1번 출구),수동식,구분,용산구,37.519942,126.989404
,한강대로 187,용산구 한강로1가 273-2,6호선 삼각지역(8번 출구),수동식,구분,용산구,37.535504,126.973387
,null,용산구 용산동4가 1-3,6호선 녹사평역(4번 출구),수동식,구분,용산구,37.534676,126.986051
,한강대로 109,용산구 한강로2가 313-4,4호선 신용산역(6번 출구),수동식,구분,용산구,37.530004,126.968455
,이태원로 287,용산구 한남동 728-1,6호선 한강진역(3번 출구),수동식,구분,용산구,37.540131,127.001886
,이촌로71길 42,용산구 용산동5가 17-79,"4호선 이촌역(3-1,4번 출구)",수동식,구분,용산구,37.522231,126.973321
,null,null,"남영역 건너편
(기존것 교체)",null,구분,null,0,0
,백범로 286,용산구 용문동 5-229,6호선 효창공원역(4번 출구),수동식,구분,용산구,37.539282,126.961025
,이태원로 184,용산구 이태원동 127-10,6호선 이태원역(3번 출구),수동식,구분,용산구,37.534415,126.994483
,null,null,"3/6호선 약수역(3,6번 출구)",null,구분,null,0,0
,동호로24길 3,중구 장충동2가 189-33,3호선 동대입구역(2번 출구),수동식,구분,중구,37.559381,127.005348
,창경궁로 43,중구 을지로4가 208-1,"2/5호선 을지로4가역(8,9번 출구)",수동식,구분,중구,37.566213,126.997848
,통일로 126,중구 충정로1가 97-1,5호선 서대문역(5~6번 출구 사이),수동식,구분,중구,37.5658,126.967068
,세종대로 83,중구 태평로2가 344-2,2호선 시청역(8번 출구),수동식,구분,중구,37.563792,126.976521
,밤고개로1길 10,강남구 수서동 713-1,3호선 수서역(2번 출구),수동식,구분,강남구,37.487767,127.101575
,일원로 2,강남구 개포동 13-4,3호선 대청역(2번 출구),수동식,구분,강남구,37.493843,127.079547
,개포로 522,강남구 개포동 184-5,분당선 대모산역입구역(4번 출구),수동식,구분,강남구,37.491605,127.073104
,학동로 342,강남구 논현동 241-4,7호선 강남구청역(2번 출구),수동식,구분,강남구,37.516828,127.040666
,영동대로 502,강남구 삼성동 168-8,"2호선 삼성역(3,5,7번 출구)",수동식,구분,강남구,37.509416,127.063436
,테헤란로 329,강남구 역삼동 705-11,2호선 선릉역(5번 출구),수동식,구분,강남구,37.504377,127.047831
,남부순환로 3022,강남구 대치동 510-6,"3호선 대치역(4,5번 출구)",수동식,구분,강남구,37.494918,127.065227
,선릉로 228,강남구 역삼동 765-3,분당선 한티역(1번 출구),수동식,구분,강남구,37.496504,127.052963
,영동대로 202,강남구 대치동 50-70,3호선 학여울역 자전거보관소,수동식,구분,강남구,37.496779,127.070211
,테헤란로 201,강남구 역삼동 642-14,2호선 역삼역(7번 출구),수동식,구분,강남구,37.501409,127.036784
,null,null,2호선 강남역(7번 출구),수동식,구분,강남구,0,0
,강남대로 606,강남구 논현동 1,"3호선 신사역(3,6번 출구)",수동식,구분,강남구,37.5158123,127.0199798
,null,null,3호선 신사역 6번출구,수동식,구분,강남구,0,0
,null,null,3호선 압구정역 5번출구,수동식,구분,강남구,0,0
,null,null,3호선 압구정역 3번출구,수동식,구분,강남구,0,0
,논현로 867,강남구 신사동 667-35,"3호선 압구정역(1,3,5번 출구)",수동식,구분,강남구,37.5260788,127.0285005
,null,null,7호선 강남구청역(4번 출구),수동식,구분,강남구,0,0
,학동로 508,강남구 삼성동 53-2,"7호선 청담역(5,10,13번 출구)",수동식,구분,강남구,37.5190943,127.0519012
,null,null,7호선 청담역10번출구,수동식,구분,강남구,0,0
,null,null,7호선 청담역13번출구,수동식,구분,강남구,0,0
,강남대로 468,강남구 역삼동 858-26,9호선 신논현역(5번 출구),수동식,구분,강남구,37.5041797,127.0249499
,학동로 201,강남구 논현동 87-8,"7호선 학동역(8,10번 출구)",수동식,구분,강남구,37.5142669,127.0308436
,남부순환로 2814,강남구 도곡동 467-5,3호선 도곡역(4번 출구),수동식,구분,강남구,37.4905538,127.0550299
,남부순환로 2740,강남구 도곡동 179-7,3호선 매봉역(4번 출구),수동식,구분,강남구,37.4864637,127.0460955
,개포로 420,강남구 개포동 186-20,분당선 개포동역(4번 출구),수동식,구분,강남구,37.4892664,127.0663493
,null,null,7호선 학동역 10번출구 앞,수동식,구분,강남구,0,0
,도림천로 477,구로구 구로동 810-3,2호선 구로디지털단지역,수동식,구분,구로구,37.4852488,126.9014448
,송파대로22길 4-20,송파구 문정동 227-1,"8호선 문정역(1,2번 출구)",자동식,구분,송파구,37.4864279,127.1225153
,오금로 20,송파구 신천동 17-9,2호선 잠실나루역(1번 출구),자동식,구분,송파구,37.5209656,127.103884
,중대로 144,송파구 가락동 123-27,3.5호선 경찰병원역(4번 출구),자동식,구분,송파구,37.4950924,127.1238326
,잠원로4길 46,서초구 잠원동 61-7,잠원역(3번 출구),자동식,구분,서초구,37.5128394,127.0111243
,매헌로 116,서초구 양재동 237-2,양재시민의숲역(1번 출구),자동식,구분,서초구,37.4703542,127.0385764
,덕릉로115다길 68,노원구 상계동 65-47,자전거대여소(당고개역),자동식,구분,노원구,37.6699775,127.0787652
,상계로 190,노원구 중계동 141-87,자전거대여소(상계역),자동식,구분,노원구,37.661201,127.0739338
,남부순환로 1733,관악구 봉천동 926-33,봉천역(6번출구),자동식,구분,관악구,37.4824831,126.9426525
,남부순환로 2082-29,관악구 남현동 1130-1,사당역(6번 출구),자동식,구분,관악구,37.4763631,126.9808798
,난곡로 374,관악구 신림동 516,"신대방역(1,2번 출구)",자동식,구분,관악구,37.4871997,126.9133774
,남부순환로 1615,관악구 신림동 1422-42,"신림역(2,8번 출구)",자동식,구분,관악구,37.4844892,126.9301016
,null,null,서울대입구역(8번 출구),자동식,구분,관악구,0,0
,null,null,신림역(2번 출구),자동식,구분,관악구,0,0
,null,null,신대방역(2번 출구),자동식,구분,관악구,0,0
,null,null,신대방역(1번 출구),자동식,구분,관악구,0,0
,null,null,신대방역(1번 출구),자동식,구분,관악구,0,0
,null,null,수색역(3번 출구),자동식,구분,마포구,0,0
,방울내로11길 42,마포구 망원동 472-1,마포구청역(6번 출구),자동식,구분,마포구,37.5626902,126.9036032
,월드컵로 78,마포구 서교동 441-19,망원역(1번 출구),자동식,구분,마포구,37.556012,126.9103816
,독막로 4,마포구 합정동 373-26,합정역(7번 출구),자동식,구분,마포구,37.5487341,126.9137412
,월드컵북로2길 65,마포구 동교동 192-44,홍대입구역(KT옆),자동식,구분,마포구,37.5577508,126.9235603
,통일로 611,은평구 녹번동 49-3,녹번역(5번 출구),자동식,구분,은평구,37.6013471,126.9353345
,증산로 307,은평구 증산동 198-2,증산역(4번 출구),자동식,구분,은평구,37.5845066,126.9101139
,연서로 143,은평구 갈현동 530-20,구산역(4번 출구),자동식,구분,은평구,37.611663,126.9171768
,진흥로 103,은평구 역촌동 17-1,역촌역(1번 출구),자동식,구분,은평구,37.6060532,126.922525
,불광로 129-1,은평구 불광동 13-33,독바위역(1번 출구),자동식,구분,은평구,37.618393,126.9328464
,진관2로 29-21,은평구 진관동 221-29,구파발역(2번 출구),자동식,구분,은평구,37.6361958,126.9192317
